2019-04-16 16:33:28.064280
323, memory_percent: 3.401939798806639, cpu_percent: 50.3
324, memory_percent: 3.401939798806639, cpu_percent: 50.7
325, memory_percent: 3.401939798806639, cpu_percent: 50.5
326, memory_percent: 3.401939798806639, cpu_percent: 50.3
327, memory_percent: 3.401939798806639, cpu_percent: 50.3
328, memory_percent: 3.401939798806639, cpu_percent: 50.5
329, memory_percent: 3.401939798806639, cpu_percent: 50.0
330, memory_percent: 3.401939798806639, cpu_percent: 50.5
331, memory_percent: 3.401939798806639, cpu_percent: 50.3
332, memory_percent: 3.401939798806639, cpu_percent: 50.5
333, memory_percent: 3.401939798806639, cpu_percent: 50.3
334, memory_percent: 3.401939798806639, cpu_percent: 50.5
335, memory_percent: 3.401939798806639, cpu_percent: 50.5
336, memory_percent: 3.401939798806639, cpu_percent: 50.3
337, memory_percent: 3.401939798806639, cpu_percent: 49.7
338, memory_percent: 3.401939798806639, cpu_percent: 50.5
339, memory_percent: 3.401939798806639, cpu_percent: 50.5
340, memory_percent: 3.401939798806639, cpu_percent: 50.5
341, memory_percent: 3.401939798806639, cpu_percent: 51.7
342, memory_percent: 3.401939798806639, cpu_percent: 50.3
343, memory_percent: 3.401939798806639, cpu_percent: 53.0
344, memory_percent: 3.401939798806639, cpu_percent: 51.0
345, memory_percent: 3.401939798806639, cpu_percent: 50.8
346, memory_percent: 3.401939798806639, cpu_percent: 50.5
347, memory_percent: 3.401939798806639, cpu_percent: 50.5
348, memory_percent: 3.401939798806639, cpu_percent: 50.7
349, memory_percent: 3.401939798806639, cpu_percent: 50.3
350, memory_percent: 3.401939798806639, cpu_percent: 50.5
351, memory_percent: 3.401939798806639, cpu_percent: 50.2
352, memory_percent: 3.401939798806639, cpu_percent: 50.5
353, memory_percent: 3.401939798806639, cpu_percent: 50.3
354, memory_percent: 3.401939798806639, cpu_percent: 50.3
355, memory_percent: 3.401939798806639, cpu_percent: 50.3
356, memory_percent: 3.401939798806639, cpu_percent: 50.7
357, memory_percent: 3.401939798806639, cpu_percent: 50.5
358, memory_percent: 3.401939798806639, cpu_percent: 50.3
359, memory_percent: 3.401939798806639, cpu_percent: 50.5
360, memory_percent: 3.401939798806639, cpu_percent: 50.5
361, memory_percent: 3.401939798806639, cpu_percent: 50.3
362, memory_percent: 3.401939798806639, cpu_percent: 50.0
363, memory_percent: 3.401939798806639, cpu_percent: 50.7
364, memory_percent: 3.401939798806639, cpu_percent: 50.5
365, memory_percent: 3.401939798806639, cpu_percent: 50.2
366, memory_percent: 3.401939798806639, cpu_percent: 50.3
367, memory_percent: 3.401939798806639, cpu_percent: 50.3
368, memory_percent: 3.401939798806639, cpu_percent: 50.5
369, memory_percent: 3.401939798806639, cpu_percent: 50.5
370, memory_percent: 3.401939798806639, cpu_percent: 50.2
371, memory_percent: 3.401939798806639, cpu_percent: 50.7
372, memory_percent: 3.401939798806639, cpu_percent: 50.3
373, memory_percent: 3.401939798806639, cpu_percent: 50.5
374, memory_percent: 3.401939798806639, cpu_percent: 50.3
375, memory_percent: 3.401939798806639, cpu_percent: 50.3
376, memory_percent: 3.401939798806639, cpu_percent: 50.7
377, memory_percent: 3.401939798806639, cpu_percent: 50.0
378, memory_percent: 3.401939798806639, cpu_percent: 50.5
379, memory_percent: 3.4035079465888867, cpu_percent: 71.9
380, memory_percent: 3.4035079465888867, cpu_percent: 90.1
381, memory_percent: 3.4035079465888867, cpu_percent: 98.0
382, memory_percent: 3.4035079465888867, cpu_percent: 68.0
383, memory_percent: 3.4035079465888867, cpu_percent: 51.0
384, memory_percent: 3.4035079465888867, cpu_percent: 50.8
385, memory_percent: 3.4035079465888867, cpu_percent: 50.5
386, memory_percent: 3.4035079465888867, cpu_percent: 52.0
387, memory_percent: 3.4035079465888867, cpu_percent: 50.5
388, memory_percent: 3.4035079465888867, cpu_percent: 50.3
389, memory_percent: 3.4035079465888867, cpu_percent: 50.3
390, memory_percent: 3.4035079465888867, cpu_percent: 50.0
391, memory_percent: 3.4035079465888867, cpu_percent: 50.0
392, memory_percent: 3.4035079465888867, cpu_percent: 50.5
393, memory_percent: 3.4035079465888867, cpu_percent: 50.3
394, memory_percent: 3.4035079465888867, cpu_percent: 50.7
395, memory_percent: 3.4035079465888867, cpu_percent: 50.5
396, memory_percent: 3.4035079465888867, cpu_percent: 50.3
397, memory_percent: 3.4035079465888867, cpu_percent: 50.3
398, memory_percent: 3.4035079465888867, cpu_percent: 50.5
399, memory_percent: 3.4035079465888867, cpu_percent: 50.3
400, memory_percent: 3.4035079465888867, cpu_percent: 50.5
401, memory_percent: 3.4035079465888867, cpu_percent: 52.0
402, memory_percent: 3.4035079465888867, cpu_percent: 50.3
403, memory_percent: 3.4035079465888867, cpu_percent: 53.0
404, memory_percent: 3.4035079465888867, cpu_percent: 51.5
405, memory_percent: 3.4035079465888867, cpu_percent: 50.3
406, memory_percent: 3.4035079465888867, cpu_percent: 50.5
407, memory_percent: 3.4035079465888867, cpu_percent: 50.5
408, memory_percent: 3.4035079465888867, cpu_percent: 50.3
409, memory_percent: 3.4035079465888867, cpu_percent: 50.7
410, memory_percent: 3.4035079465888867, cpu_percent: 50.3
411, memory_percent: 3.4035079465888867, cpu_percent: 50.3
412, memory_percent: 3.4035079465888867, cpu_percent: 50.5
413, memory_percent: 3.4035079465888867, cpu_percent: 50.3
414, memory_percent: 3.4035079465888867, cpu_percent: 50.7
415, memory_percent: 3.4035079465888867, cpu_percent: 50.3
416, memory_percent: 3.4035079465888867, cpu_percent: 50.5
417, memory_percent: 3.4035079465888867, cpu_percent: 50.5
418, memory_percent: 3.4035079465888867, cpu_percent: 50.2
419, memory_percent: 3.4035079465888867, cpu_percent: 50.7
420, memory_percent: 3.4035079465888867, cpu_percent: 50.8
421, memory_percent: 3.4035079465888867, cpu_percent: 50.5
422, memory_percent: 3.4035079465888867, cpu_percent: 50.5
423, memory_percent: 3.4035079465888867, cpu_percent: 50.3
424, memory_percent: 3.4035079465888867, cpu_percent: 51.2
425, memory_percent: 3.4035079465888867, cpu_percent: 50.3
426, memory_percent: 3.4035079465888867, cpu_percent: 50.5
427, memory_percent: 3.4035079465888867, cpu_percent: 50.5
428, memory_percent: 3.4035079465888867, cpu_percent: 50.3
429, memory_percent: 3.4035079465888867, cpu_percent: 50.7
430, memory_percent: 3.4035079465888867, cpu_percent: 50.3
431, memory_percent: 3.4035079465888867, cpu_percent: 50.3
432, memory_percent: 3.4035079465888867, cpu_percent: 50.3
433, memory_percent: 3.4035079465888867, cpu_percent: 50.3
434, memory_percent: 3.4035079465888867, cpu_percent: 50.3
435, memory_percent: 3.4035079465888867, cpu_percent: 50.5
436, memory_percent: 3.4035079465888867, cpu_percent: 50.3
437, memory_percent: 3.4035079465888867, cpu_percent: 50.3
438, memory_percent: 3.4035079465888867, cpu_percent: 50.7
439, memory_percent: 3.4035079465888867, cpu_percent: 50.3
440, memory_percent: 3.4035079465888867, cpu_percent: 50.8
441, memory_percent: 3.4035079465888867, cpu_percent: 50.5
442, memory_percent: 3.4035079465888867, cpu_percent: 50.5
443, memory_percent: 3.4035079465888867, cpu_percent: 50.3
444, memory_percent: 3.4035079465888867, cpu_percent: 50.2
445, memory_percent: 3.4035079465888867, cpu_percent: 51.0
446, memory_percent: 3.4035079465888867, cpu_percent: 50.3
447, memory_percent: 3.4035079465888867, cpu_percent: 50.7
448, memory_percent: 3.4035079465888867, cpu_percent: 50.5
449, memory_percent: 3.4035079465888867, cpu_percent: 50.3
450, memory_percent: 3.4035079465888867, cpu_percent: 50.5
451, memory_percent: 3.4035079465888867, cpu_percent: 50.5
452, memory_percent: 3.4035079465888867, cpu_percent: 50.5
453, memory_percent: 3.4035079465888867, cpu_percent: 50.3
454, memory_percent: 3.4035079465888867, cpu_percent: 50.3
455, memory_percent: 3.4035079465888867, cpu_percent: 50.7
456, memory_percent: 3.4035079465888867, cpu_percent: 50.3
457, memory_percent: 3.4035079465888867, cpu_percent: 50.2
458, memory_percent: 3.4035079465888867, cpu_percent: 50.7
459, memory_percent: 3.4035079465888867, cpu_percent: 50.3
460, memory_percent: 3.4035079465888867, cpu_percent: 50.5
461, memory_percent: 3.4035079465888867, cpu_percent: 50.5
462, memory_percent: 3.4035079465888867, cpu_percent: 50.3
463, memory_percent: 3.4035079465888867, cpu_percent: 53.3
464, memory_percent: 3.4035079465888867, cpu_percent: 51.5
465, memory_percent: 3.4035079465888867, cpu_percent: 50.5
466, memory_percent: 3.4035079465888867, cpu_percent: 50.5
467, memory_percent: 3.4035079465888867, cpu_percent: 51.0
468, memory_percent: 3.4035079465888867, cpu_percent: 50.3
469, memory_percent: 3.4035079465888867, cpu_percent: 50.5
470, memory_percent: 3.4035079465888867, cpu_percent: 50.8
471, memory_percent: 3.4035079465888867, cpu_percent: 50.5
472, memory_percent: 3.4035079465888867, cpu_percent: 50.5
473, memory_percent: 3.4035079465888867, cpu_percent: 50.5
