2019-04-16 16:33:28.063570
MEM 254.226562 1555432648.3928
MEM 254.226562 1555432649.3943
MEM 254.226562 1555432650.3957
MEM 254.226562 1555432651.3972
MEM 254.226562 1555432652.3988
MEM 254.226562 1555432653.3996
MEM 254.226562 1555432654.4011
MEM 254.226562 1555432655.4026
MEM 254.226562 1555432656.4040
MEM 254.226562 1555432657.4055
MEM 254.226562 1555432658.4068
MEM 254.226562 1555432659.4075
MEM 254.226562 1555432660.4090
MEM 254.226562 1555432661.4105
MEM 254.226562 1555432662.4121
MEM 254.226562 1555432663.4135
MEM 254.226562 1555432664.4151
MEM 254.226562 1555432665.4166
MEM 254.226562 1555432666.4181
MEM 254.226562 1555432667.4196
MEM 254.226562 1555432668.4211
MEM 254.226562 1555432669.4227
MEM 254.226562 1555432670.4241
MEM 254.226562 1555432671.4255
MEM 254.226562 1555432672.4271
MEM 254.226562 1555432673.4285
MEM 254.226562 1555432674.4300
MEM 254.226562 1555432675.4314
MEM 254.226562 1555432676.4329
MEM 254.226562 1555432677.4344
MEM 254.226562 1555432678.4360
MEM 254.226562 1555432679.4374
MEM 254.226562 1555432680.4390
MEM 254.226562 1555432681.4404
MEM 254.226562 1555432682.4412
MEM 254.226562 1555432683.4426
MEM 254.226562 1555432684.4441
MEM 254.226562 1555432685.4455
MEM 254.226562 1555432686.4471
MEM 254.226562 1555432687.4485
MEM 254.226562 1555432688.4499
MEM 254.226562 1555432689.4514
MEM 254.226562 1555432690.4529
MEM 254.226562 1555432691.4541
MEM 254.226562 1555432692.4555
MEM 254.226562 1555432693.4569
MEM 254.226562 1555432694.4583
MEM 254.226562 1555432695.4599
MEM 254.226562 1555432696.4613
MEM 254.226562 1555432697.4627
MEM 254.226562 1555432698.4642
MEM 254.226562 1555432699.4656
MEM 254.226562 1555432700.4669
MEM 254.226562 1555432701.4684
MEM 254.226562 1555432702.4698
MEM 254.226562 1555432703.4712
MEM 254.226562 1555432704.4725
MEM 254.226562 1555432705.4739
MEM 254.226562 1555432706.4754
MEM 254.226562 1555432707.4768
MEM 254.226562 1555432708.4782
MEM 254.226562 1555432709.4796
MEM 254.226562 1555432710.4810
MEM 254.226562 1555432711.4824
