,dataset,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
14,churn,0.9568,0.9543513373597928,0.9564482896948014,0.9568,,0.9544,0.9515886961605924,0.9540676776687482,0.9544,,0.948,0.94461853307785,0.946928488791973,0.948,,0.948,0.94461853307785,0.946928488791973,0.948,,0.9216,0.9124903157672404,0.9183693913043476,0.9216,,,,,,,,,,,,,,randomForest,0.986133333333333,"0.9576
",0.9536,0.9508168220356856,0.9530323076923076,0.9536,
15,cifar-10,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.28244444444444444,0.2894979819846175,0.28244444444444444,0.26140658003517764,0.2875333333333333,0.2982023922469028,0.2875333333333333,0.2664888393426961,0.28686666666666666,0.29971523592413324,0.28686666666666666,0.2667139572824652,bagging,0.874617737003058,"0.203133333333333
",,,,,
16,connect-4,0.8122755081902507,0.7926063624739719,0.7914731802613076,0.8122755081902507,,0.8004144464179989,0.7696741137770137,0.7732795395033264,0.8004144464179989,,0.8004736530491415,0.7699151308490215,0.7735129729059462,0.8004736530491415,,0.8062956384448391,0.7874040547057309,0.7850005789039392,0.8062956384448391,,0.7069271758436945,0.6539400220472215,0.6637036715960829,0.7069271758436945,,0.6948227090323005,0.6952971139155839,0.6948227090323005,0.6950588321105234,1.0,1.0,1.0,1.0,0.7211959739490823,0.7207566813272082,0.7211959739490823,0.7209750662720867,c50,0.922336037262913,"0.838247483718176
",,,,,
5,CovPokElec,0.444833764791883,0.27390982010643,0.1978770782989204,0.444833764791883,,0.612200292036063,0.4981263886572374,0.4473819878221874,0.612200292036063,,0.444833764791883,0.27390982010643,0.1978770782989204,0.444833764791883,,0.44806191750805696,0.331398990079588,0.300667617295224,0.44806191750805696,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
17,dataset_183_adult,0.8533562634782846,0.8508751835927256,0.8494737623952506,0.8533562634782846,,0.8521824584391123,0.8498335983690946,0.8484148565101254,0.8521824584391123,,0.8564409139300629,0.8518581556094448,0.8507496857163734,0.8564409139300629,,0.8536292413943709,0.8487077956429671,0.84753716669589,0.8536292413943709,,0.8455490950782082,0.8398098650387092,0.8384656237980112,0.8455490950782082,,0.8253867151956324,0.8432421491134039,0.8253867151956324,0.8313560833392284,0.8386066446452458,0.8403874657703261,0.8386066446452458,0.8394433939724497,0.8375235443452624,0.8369953453961908,0.8375235443452624,0.8372542500714177,randomForest,0.885042723376375,"0.854803046433544
",,,,,
18,dataset_185_yeast,0.5929919137466307,0.5879136428924411,0.5926816785513261,0.5929919137466307,,0.5974842767295598,0.5920476589555417,0.6008636587593225,0.5974842767295598,,0.5822102425876011,0.5771125188961604,0.583205065471989,0.5822102425876011,,0.575022461814915,0.5677897367106329,0.5708213334068001,0.575022461814915,,0.5849056603773585,0.5746645340484803,0.5891471202071917,0.5849056603773585,,0.5688622754491018,0.615071131807861,0.5688622754491018,0.5596298203708321,0.7996406109613656,0.8005803648439509,0.7996406109613656,0.7983120907978771,0.522911051212938,0.5417567487188156,0.522911051212938,0.5204909944221887,bagging,0.554357592093441,"0.566037735849057
",0.6001796945193171,0.5915253728655314,0.5984733842094018,0.6001796945193171,
19,dataset_186_satimage,0.9181177446102821,0.9170090798255972,0.916970862037649,0.9181177446102821,,0.9073383084577116,0.9057127290341538,0.9060867231708823,0.9073383084577116,,0.9081674958540632,0.9067418963574682,0.9065806318346272,0.9081674958540632,,0.903606965174129,0.901661930330953,0.901480971878816,0.903606965174129,,0.9135572139303484,0.9122558938050344,0.912068785456698,0.9135572139303484,,0.9149965445749828,0.9123077756829792,0.9149965445749828,0.9117948042246384,1.0,1.0,1.0,1.0,0.9185323383084576,0.9169702046610154,0.9185323383084576,0.9168612490842232,randomForest,1.0,"0.911069651741294
",,,,,
20,dataset_187_abalone,0.26507177033492824,0.2359164872578061,0.2216050441620585,0.26507177033492824,,0.2523125996810208,0.22091565455723225,0.216279945900007,0.2523125996810208,,0.2688995215311005,0.2389824844685442,0.22498409454558,0.2688995215311005,,0.244657097288676,0.223729222280948,0.217700084183224,0.244657097288676,,0.08876117496807152,0.0781511327778888,0.07653554287043164,0.08876117496807152,,,,,,,,,,,,,,bagging,0.28192848020434197,"0.238277511961722
",,,,,
21,dataset_189_baseball,0.9313432835820896,0.9185910447761194,0.9158115671641792,0.9313432835820896,,0.9283582089552241,0.9115332428765264,0.9053397608232132,0.9283582089552241,,0.9343283582089552,0.9260302963447944,0.9245061920517452,0.9343283582089552,,0.928358208955224,0.9012473179128055,0.8824262832180559,0.928358208955224,,0.928358208955224,0.910077592957312,0.9079786253915606,0.928358208955224,,,,,,,,,,,,,,randomForest,0.9681592039800991,"0.934328358208955
",0.9402985074626866,0.93068916550849,0.9313071899793464,0.9402985074626866,
22,dataset_194_eucalyptus,0.7065217391304348,0.6987558382425706,0.7038422992714872,0.7065217391304348,,0.6902173913043478,0.6799000606633803,0.7004259866757189,0.6902173913043478,,0.6902173913043478,0.6849091597510113,0.6822412407047633,0.6902173913043478,,0.6956521739130435,0.6968008378281099,0.6989001035196687,0.6956521739130435,,0.5978260869565217,0.5793582098895655,0.5989949923632993,0.5978260869565217,,,,,,,,,,,,,,svm,0.793478260869565,"0.684782608695652
",0.7119565217391305,0.7024089113545253,0.7185981268259151,0.7119565217391305,
