,sklearn_accuracy_mean,sklearn_f1_score_mean,sklearn_model_1,sklearn_precision_mean,sklearn_recall_mean,sklearn_time_mean,sklearn_e_accuracy_mean,sklearn_e_f1_score_mean,sklearn_e_model_1,sklearn_e_precision_mean,sklearn_e_recall_mean,sklearn_e_time_mean,sklearn_m_accuracy_mean,sklearn_m_f1_score_mean,sklearn_m_model_1,sklearn_m_precision_mean,sklearn_m_recall_mean,sklearn_m_time_mean,sklearn_v_accuracy_mean,sklearn_v_f1_score_mean,sklearn_v_model_1,sklearn_v_precision_mean,sklearn_v_recall_mean,sklearn_v_time_mean,autoweka_accuracy_mean,autoweka_f1_score_mean,autoweka_model_1,autoweka_precision_mean,autoweka_recall_mean,autoweka_time_mean,recipe_valid_acc,recipe_valid_precision,recipe_valid_recall,recipe_valid_f1,recipe_train_acc,recipe_train_precision,recipe_train_recall,recipe_train_f1,recipe_test_acc,recipe_test_precision,recipe_test_recall,recipe_test_f1,smartml_model,smartml_train_acc,smartml_valid_acc,tpot_accuracy_mean,tpot_f1_score_mean,tpot_model_1,tpot_precision_mean,tpot_recall_mean,tpot_time_mean
dataset_187_abalone,0.26507177033492824,0.2359164872578061,adaboost,0.2216050441620585,0.26507177033492824,,0.2523125996810208,0.22091565455723225,adaboost,0.21627994590000701,0.2523125996810208,,0.2688995215311005,0.2389824844685442,libsvm_svc,0.22498409454558,0.2688995215311005,,0.24465709728867602,0.22372922228094802,random_forest,0.21770008418322398,0.24465709728867602,,0.266283525,0.078151133,None,0.076535543,0.088761175,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bagging,0.281928480204342,"0.238277511961722
",,,None,,,
dataset_189_baseball,0.9313432835820896,0.9185910447761194,lda,0.9158115671641792,0.9313432835820896,,0.928358208955224,0.9115332428765264,adaboost,0.9053397608232132,0.928358208955224,,0.9343283582089552,0.9260302963447944,gradient_boosting,0.9245061920517452,0.9343283582089552,,0.9283582089552241,0.9012473179128055,gaussian_nb,0.8824262832180559,0.9283582089552241,,0.9283582090000001,0.910077593,functions.Logistic,0.907978625,0.9283582090000001,,,,,,,,,,,,,,randomForest,0.968159203980099,"0.934328358208955
",0.9402985074626866,0.93068916550849,None,0.9313071899793464,0.9402985074626866,
dataset_194_eucalyptus,0.7065217391304348,0.6987558382425706,adaboost,0.7038422992714872,0.7065217391304348,,0.6902173913043478,0.6799000606633803,adaboost,0.7004259866757189,0.6902173913043478,,0.6902173913043478,0.6849091597510113,gradient_boosting,0.6822412407047633,0.6902173913043478,,0.6956521739130435,0.6968008378281099,gradient_boosting,0.6989001035196687,0.6956521739130435,,0.5978260870000001,0.57935821,functions.Logistic,0.5989949920000001,0.5978260870000001,,,,,,,,,,,,,,svm,0.793478260869565,"0.684782608695652
",0.7119565217391305,0.7024089113545253,None,0.7185981268259151,0.7119565217391305,
dataset_24_mushroom,1.0,1.0,extra_trees,1.0,1.0,,0.9993435089446906,0.9993435042495808,sgd,0.9993451135870488,0.9993435089446906,,1.0,1.0,gradient_boosting,1.0,1.0,,1.0,1.0,sgd,1.0,1.0,,0.9881831609999999,0.988180892,trees.RandomForest,0.9884548120000001,0.9881831609999999,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,c50,1,"1
",1.0,1.0,None,1.0,1.0,
dataset_26_nursery,0.9996913580246912,0.9995379611148074,libsvm_svc,0.9993863903586124,0.9996913580246912,,0.9972222222222222,0.9970664046545704,lda,0.996915309977658,0.9972222222222222,,0.9996913580246912,0.9995379611148074,libsvm_svc,0.9993863903586124,0.9996913580246912,,0.9956790123456792,0.995846003636124,liblinear_svc,0.9960498194427184,0.9956790123456792,,0.9848765429999999,0.984446362,meta.AttributeSelectedClassifier,0.98441192,0.9848765429999999,,,,,,,,,,,,,,c50,0.999794238683128,"0.997530864197531
",0.9993827160493828,0.9993835694349921,None,0.9993863903586124,0.9993827160493828,
dataset_28_optdigits,0.9886120996441279,0.9886038047499306,lda,0.9887689735608378,0.9886120996441279,,0.9736654804270464,0.9736632583501432,sgd,0.9738746763263028,0.9736654804270464,,0.9829181494661922,0.982950834966576,qda,0.983106563056367,0.9829181494661922,,0.9686832740213523,0.9686354904763452,random_forest,0.9687959079618379,0.9686832740213523,,0.9836298929999999,0.9836000140000001,lazy.IBk,0.983887435,0.9836298929999999,,,,,,,,,,,,,,rda,0.98932384341637,"0.975800711743772
",,,None,,,
dataset_31_credit-g,0.7520000000000001,0.7403455961559122,liblinear_svc,0.7383574546688895,0.7520000000000001,,0.7600000000000001,0.7398092755589157,sgd,0.7467788579923381,0.7600000000000001,,0.7413333333333334,0.7302608706253534,gradient_boosting,0.7273477282950968,0.7413333333333334,,0.754666666666667,0.7350053497643728,lda,0.739485606630197,0.754666666666667,,0.7506666670000001,0.72280802,bayes.BayesNet,0.737781437,0.7506666670000001,,0.7555555555555555,0.7491958772046737,0.7555555555555555,0.7515886240511321,1.0,1.0,1.0,1.0,0.668,0.6855240110006346,0.668,0.6750379449971601,svm,0.790666666666667,"0.768
",0.7520000000000001,0.7320897369157883,None,0.7372267725918569,0.7520000000000001,
dataset_36_segment,0.9809688581314879,0.9810790679059282,adaboost,0.9813314306292119,0.9809688581314879,,0.9757785467128028,0.9757836228062288,adaboost,0.9765818300872232,0.9757785467128028,,0.9826989619377162,0.9828334367386076,gradient_boosting,0.9832338365210336,0.9826989619377162,,0.9653979238754326,0.9653937080879968,gradient_boosting,0.966044329527884,0.9653979238754326,,0.977508651,0.9775613790000001,trees.RandomForest,0.977717059,0.977508651,,,,,,,,,,,,,,bagging,0.940531177829099,"0.937716262975779
",0.9792387543252596,0.9793353037110052,None,0.9798054570580736,0.9792387543252596,
dataset_39_ecoli,0.9007936507936508,0.9076395086227818,gradient_boosting,0.9247260015117158,0.9007936507936508,,0.8968253968253967,0.9012506974115808,libsvm_svc,0.9169591982091982,0.8968253968253967,,0.873015873015873,0.8804775333690699,lda,0.8983354964792934,0.873015873015873,,0.873015873015873,0.8828644307742279,random_forest,0.9059944684944681,0.873015873015873,,0.900793651,0.905901848,lazy.IBk,0.9137960740000001,0.900793651,,0.7894736842105263,0.7651788785689714,0.7894736842105263,0.7761879394843384,0.9444444444444444,0.9503002711805969,0.9444444444444444,0.9440959072160349,0.47619047619047616,0.44062500000000004,0.47619047619047616,0.3268781196689202,svm,0.892857142857143,"0.892857142857143
",0.8928571428571428,0.8948693575677703,None,0.9029166881177424,0.8928571428571428,
dataset_40_sonar,0.7884615384615384,0.7885397990836391,extra_trees,0.7892011834319527,0.7884615384615384,,0.8653846153846154,0.8652347652347653,extra_trees,0.8657280219780219,0.8653846153846154,,0.7692307692307693,0.7685470085470084,extra_trees,0.7770730019605582,0.7692307692307693,,0.9230769230769232,0.9230769230769232,sgd,0.9230769230769232,0.9230769230769232,,0.75,0.748600224,lazy.IBk,0.752272727,0.75,,,,,,,,,,,,,,svm,0.865384615384615,"0.769230769230769
",0.75,0.7486002239641658,None,0.7522727272727271,0.75,
