dataset,accuracy_1,accuracy_2,accuracy_3,accuracy_mean,accuracy_std,error_1,error_2,error_3,f1score_1,f1score_2,f1score_3,f1score_mean,f1score_std,model_1,model_2,model_3,precision_1,precision_2,precision_3,precision_mean,precision_std,recall_1,recall_2,recall_3,recall_mean,recall_std,time_1,time_2,time_3
dataset_28_optdigits,0.987900355871886,,,0.987900355871886,0.0,,,,0.9879171209741564,,,0.9879171209741564,0.0,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 1.3796939790023386, -N, 0, -K, weka.classifiers.functions.supportVector.RBFKernel -G 0.15419343609743885]",,,0.9880975016205508,,,0.9880975016205508,0.0,0.987900355871886,,,0.987900355871886,0.0,3045.0,,
dataset_31_credit-g,0.76,0.736,0.76,0.7520000000000001,0.01131370849898477,,,,0.7347804745023181,0.7128071701126986,0.7389156091933623,0.7288344179361262,0.011458020169978348,"best classifier: weka.classifiers.bayes.NaiveBayes
arguments: [-D]","best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 43, -P, 0.7302360040743888, -S, 1, -W, weka.classifiers.bayes.NaiveBayes, --]","best classifier: weka.classifiers.lazy.LWL
arguments: [-A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.functions.Logistic, --, -R, 3.5702805458595504E-11]",0.7462380952380951,0.7148702559576345,0.7453045013239188,0.7354709508398828,0.014571876374779028,0.76,0.736,0.76,0.7520000000000001,0.01131370849898477,39.0,3010.0,3181.0
dataset_36_segment,0.9688581314878892,,,0.9688581314878892,0.0,,,,0.9691047537317165,,,0.9691047537317165,0.0,"best classifier: weka.classifiers.meta.RandomSubSpace
arguments: [-I, 12, -P, 0.709662713922656, -S, 1, -W, weka.classifiers.trees.RandomForest, --, -I, 53, -K, 24, -depth, 0]",,,0.9696163240382659,,,0.9696163240382659,0.0,0.9688581314878892,,,0.9688581314878892,0.0,3113.0,,
dataset_39_ecoli,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.0,,,,0.9131106988249844,0.9131106988249844,0.9131106988249844,0.9131106988249844,0.0,"best classifier: weka.classifiers.lazy.LWL
arguments: [-K, 10, -A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.rules.ZeroR, --]","best classifier: weka.classifiers.lazy.LWL
arguments: [-K, 10, -A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.trees.J48, --, -O, -B, -A, -M, 20, -C, 0.14805956013299804]","best classifier: weka.classifiers.lazy.LWL
arguments: [-K, 10, -A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.trees.REPTree, --, -M, 16, -V, 0.02678015338892808, -L, -1]",0.9301587301587302,0.9301587301587302,0.9301587301587302,0.93015873015873,1.1102230246251563e-16,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.0,3010.0,3013.0,3010.0
dataset_40_sonar,0.8461538461538461,,,0.8461538461538461,0.0,,,,0.8433566433566432,,,0.8433566433566432,0.0,"best classifier: weka.classifiers.lazy.KStar
arguments: [-B, 90, -M, d]",,,0.8645564961354435,,,0.8645564961354435,0.0,0.8461538461538461,,,0.8461538461538461,0.0,3019.0,,
dataset_42_soybean,0.9447852760736196,,,0.9447852760736196,0.0,,,,0.943985250977406,,,0.943985250977406,0.0,"best classifier: weka.classifiers.bayes.BayesNet
arguments: [-Q, weka.classifiers.bayes.net.search.local.K2]",,,0.9482997663845892,,,0.9482997663845892,0.0,0.9447852760736196,,,0.9447852760736196,0.0,3068.0,,
dataset_44_spambase,0.943527367506516,0.943527367506516,0.943527367506516,0.943527367506516,0.0,,,,0.9434699649982341,0.9434699649982341,0.9434699649982341,0.9434699649982341,0.0,"best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 159, -K, 26, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 159, -K, 26, -depth, 0]","best classifier: weka.classifiers.trees.RandomForest
arguments: [-I, 159, -K, 26, -depth, 0]",0.9434498668135728,0.9434498668135728,0.9434498668135728,0.9434498668135728,0.0,0.943527367506516,0.943527367506516,0.943527367506516,0.943527367506516,1.1102230246251563e-16,3070.0,3060.0,3113.0
dataset_54_vehicle,0.6650943396226415,,,0.6650943396226415,0.0,,,,0.6449883643006813,,,0.6449883643006813,0.0,"best classifier: weka.classifiers.lazy.LWL
arguments: [-A, weka.core.neighboursearch.LinearNNSearch, -W, weka.classifiers.functions.Logistic, --, -R, 0.09366038868140285]",,,0.652466906597807,,,0.652466906597807,0.0,0.6650943396226415,,,0.6650943396226415,0.0,3154.0,,
dataset_59_ionosphere,0.931818181818182,,,0.931818181818182,0.0,,,,0.9300249721056264,,,0.9300249721056264,0.0,"best classifier: weka.classifiers.functions.SMO
arguments: [-C, 0.9076828345781872, -N, 2, -K, weka.classifiers.functions.supportVector.RBFKernel -G 0.39145148949890196]",,,0.93841642228739,,,0.93841642228739,0.0,0.9318181818181818,,,0.9318181818181818,0.0,3013.0,,
dataset_60_waveform-5000,0.8615999999999999,0.8584,0.8584,0.8594666666666667,0.0015084944665312398,,,,0.8616026068734338,0.8584387191707461,0.8584387191707461,0.8594933484049753,0.0014914709663221414,"best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 0.0885405771893914]","best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 2.8131978688186083]","best classifier: weka.classifiers.functions.Logistic
arguments: [-R, 2.8131978688186083]",0.8616561508695837,0.8585122992035699,0.8585122992035699,0.8595602497589079,0.001482025888055284,0.8616,0.8584,0.8584,0.8594666666666667,0.0015084944665312925,3129.0,3041.0,3121.0
